filename,original,translation,status
VOICE_ID.BIN_0000003B.wav,くっ、こんな相手に!,"Блин, кому-то вроде этого!",Успешно
VOICE_ID.BIN_0000003C.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000003D.wav,私はハルナなんて名前じゃない 私の名前は アキナサ,"Меня зовут не Харуна, меня зовут Акинаса.",Успешно
VOICE_ID.BIN_0000003E.wav,へー、さすがは伝説の剣だね。この体は確かに春なそのものさ。でもね、中に入って動かしてるもんが違うんだ。,"Эй, это определенно легендарный меч. В этом теле определенно чувствуется весна. Но то, что внутри и что движется, отличается.",Успешно
VOICE_ID.BIN_0000003F.wav,さすがに理解が早いね,Это действительно быстро понять,Успешно
VOICE_ID.BIN_00000040.wav,ハルナのことが心配かい 安心しなハルナは生きているよ,"Ты беспокоишься о Харуне? Не волнуйтесь, Харуна жива.",Успешно
VOICE_ID.BIN_00000041.wav,私が眠ってる間はハルナはハルナのままさ,"Пока я сплю, Харуна останется Харуной.",Успешно
VOICE_ID.BIN_00000042.wav,逆に春名が眠っている間は 私がこの体を動かしてるって寸法さ,"С другой стороны, пока Харуна спит, я двигаю ее телом.",Успешно
VOICE_ID.BIN_00000043.wav,まったく滑稽な話だよね,"Это совершенно смешно, не так ли?",Успешно
VOICE_ID.BIN_00000044.wav,春名は自分が眠っている間にどんなひどいことをしてるのか 全く知らないんだから,"Харуна понятия не имеет, какие ужасные вещи она делает, пока спит.",Успешно
VOICE_ID.BIN_00000045.wav,ハルナはもう随分前に、このハルケギニアにやってきてたんだ。,Харуна давным-давно приехал в Халкегинию.,Успешно
VOICE_ID.BIN_00000046.wav,そしてハルナを保護したあのお方は ハルナの事情やらどこから来たのかを聞いてこれは使えるって思ったのさ,"И человек, который защищал Харуну, услышал об обстоятельствах Харуны и о том, откуда она взялась, и подумал, что это может быть полезно.",Успешно
VOICE_ID.BIN_00000047.wav,トリステインにいるっていう伝説の使い間 サイトとその主人、ルイズのことを調べるためにね,"Легендарный мальчик на побегушках в Тристейне, который хочет узнать об этом месте и его хозяйке Луизе.",Успешно
VOICE_ID.BIN_00000048.wav,ああそうさ ずーっとお前らのことを監視してたんだ,"О да, я наблюдал за тобой все это время.",Успешно
VOICE_ID.BIN_00000049.wav,情報はちくいち私のご主人様に送らせてもらったよ,Я отправила информацию мужу.,Успешно
VOICE_ID.BIN_0000004A.wav,あたしのもうひとつの役目である 破壊活動の片手間にね,Другая моя роль – принимать участие в разрушительной деятельности.,Успешно
VOICE_ID.BIN_0000004B.wav,なんともちょろい任務だったけどな,Хотя это была довольно тривиальная миссия.,Успешно
VOICE_ID.BIN_0000004C.wav,お察しの通り、あたしの仕業よ,"Как видите, это моя работа.",Успешно
VOICE_ID.BIN_0000004D.wav,だってねー 直にわかるんじゃない,Ведь напрямую этого не понять.,Успешно
VOICE_ID.BIN_0000004E.wav,あんたらがなんでこの学院に舞い戻ってきたかは知ってるよ あのゼロセントやらを動かすためだろ,"Я знаю, почему ты вернулся в эту школу. Это для того, чтобы переместить эти ноль центов.",Успешно
VOICE_ID.BIN_0000004F.wav,そうはさせないわ。レコンキスタの勝利は動かないんだけど、不安要素は排除しておかないとね。,"Я не позволю тебе этого сделать. Победа в Реконкисте ничего не изменит, но нам необходимо устранить неопределенности.",Успешно
VOICE_ID.BIN_00000050.wav,あんたらにもここを動かないでいてもらうよ 言うことを聞かないと,"Я попрошу тебя оставаться здесь, если ты не сделаешь то, что я говорю.",Успешно
VOICE_ID.BIN_00000051.wav,学院中に爆弾を仕掛けさせてもらったの 私の合図でいつでも爆破することができるわ,"Я заложил бомбы по всей школе, которые могут быть взорваны в любой момент по моему сигналу.",Успешно
VOICE_ID.BIN_00000052.wav,あんたがどこへも行かないように 私は一番高い場所から見張らせてもらうよ,"Я буду следить с самого высокого места, чтобы ты никуда не ушёл.",Успешно
VOICE_ID.BIN_00000053.wav,ほらサイト、道を開けな。 今ここで爆破してもらいたいのかい?,"Эй, Сайт, открой путь. Do you want me to explode here and now?",Успешно
VOICE_ID.BIN_00000054.wav,いいだろう でも妙な真似をしたらすぐにドカーンだよ,"Это нормально, но если вы попытаетесь имитировать что-то странное, вы сразу же будете шокированы.",Успешно
VOICE_ID.BIN_00000055.wav,さあ、それはどうだろうね?,"Ну, а как насчет этого?",Успешно
VOICE_ID.BIN_00000056.wav,そうだね。それも一つの道かもしれない。 少なくともハルナーなら、素直にそっちの言うことを聞くだろうさ。,"Я согласен. Это может быть один из способов. По крайней мере, Харуна послушно тебя выслушает.",Успешно
VOICE_ID.BIN_00000057.wav,でもねっ 私はもう役目を果たしたんだ うすうす感じてるんだろう 私一人でここに来たわけじゃない,"Но знаете, я свою роль уже выполнил, и, наверное, у меня такое ощущение, что я пришел сюда не один.",Успешно
VOICE_ID.BIN_00000058.wav,どうやら来たみたいだね、本体が。これで形勢逆転ってわけだ。,"Похоже, основная часть прибыла. Теперь ситуация поменялась.",Успешно
VOICE_ID.BIN_00000059.wav,申し訳ございません、ウェザリー様。お役に立てなくて。,"Извините, мистер Уэзерли. Я не могу тебе помочь.",Успешно
VOICE_ID.BIN_0000005A.wav,はい,,Не речь / Смех / Звук
VOICE_ID.BIN_0000005B.wav,そんな、情報にありません!,Нет такой информации!,Успешно
VOICE_ID.BIN_0000005C.wav,ウェザリン様、兵士たちが浮き足立ってます! 持ち場を離れて逃げ窓をばかり!,"Уэзерлин-сама, солдаты на ногах! Они покидают свои посты и убегают через окна!",Успешно
VOICE_ID.BIN_0000005D.wav,はいっ,Да,Успешно
VOICE_ID.BIN_0000005E.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000005F.wav,こいつ、ウェザリ様を愚弄するか!,Этот парень высмеивает мистера Уэзерли!,Успешно
VOICE_ID.BIN_00000060.wav,ウェザリー様、まだこっちには人質も爆弾もあるんです。 なんなら爆破でもさせてしまえば!,"Мистер Уэзерли, у нас здесь все еще есть заложники и бомбы. Если бы я только мог заставить его взорваться!",Успешно
VOICE_ID.BIN_00000061.wav,エザリー様,г-н Эсари,Успешно
VOICE_ID.BIN_00000062.wav,どこまでもあなたにおともします、ベザリ様!,"Я буду сопровождать вас, куда бы вы ни пошли, Безали-сама!",Успешно
VOICE_ID.BIN_00000063.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000064.wav,私はカリソメの命かもしれないけど、ウェザリー様に生み出してもらったんだ!,"Возможно, я и есть жизнь Карисомы, но меня создал мистер Уэзерли!",Успешно
VOICE_ID.BIN_00000065.wav,ウェザリー様の命が助かるなら何だって!,"Все, чтобы спасти жизнь мистера Уэзерли!",Успешно
VOICE_ID.BIN_00000066.wav,ウェザリー様は、別にレコンキスタの理想とか、世界の改革とか、そんなものは本来どうでもいい人なんだ!,"Мистер Уэзерли — человек, которого на самом деле не волнуют идеалы Реконкисты или мировой реформы!",Успешно
VOICE_ID.BIN_00000067.wav,ただ故郷の村で 村の人たちと静かに暮らしていければそれだけで幸せだったんだ,"Просто возможности спокойно жить с жителями моего родного города было достаточно, чтобы сделать меня счастливым.",Успешно
VOICE_ID.BIN_00000068.wav,それを,что,Успешно
VOICE_ID.BIN_00000069.wav,あるとき、トリステインによって貴族の身分を剥奪され、村は取り上げられてしまったんだ!,Однажды Тристейн лишил его благородного статуса и забрал его деревню!,Успешно
VOICE_ID.BIN_0000006A.wav,落ち込んでいたウェザリー様にレコンキスタは 身分の復見と村の復帰を約束したんだ それで仕方なく,"Реконкиста пообещала мистеру Уэзерли, находившемуся в депрессии, что он восстановит свой статус и вернется в деревню, поэтому у него не было выбора.",Успешно
VOICE_ID.BIN_0000006B.wav,エサリー様,г-н Эсари,Успешно
VOICE_ID.BIN_0000006C.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000006D.wav,やはりウェザリー様の言う通り邪魔が入ったわね,"В конце концов, как сказал мистер Уэзерли, беспорядки были.",Успешно
VOICE_ID.BIN_0000006E.wav,こんにちはサイトくん ヒラがくんって呼んだ方がいいのかしら,"Привет, Сайто-кун, может, мне стоит называть тебя Хирага-кун?",Успешно
VOICE_ID.BIN_0000006F.wav,そっちこそ、私を置いてどうしてこんなところにいるの?,"Почему ты здесь, оставив меня?",Успешно
VOICE_ID.BIN_00000070.wav,そうよ、ルイツ。それから私の名前は、ハルナじゃないわ。,"Да, Луис. Кроме того, меня зовут не Харуна.",Успешно
VOICE_ID.BIN_00000071.wav,ウェザリー様につけていただいた アキナっていう名前があるのよ,Мистер Уэзерли дал мне имя Акина.,Успешно
VOICE_ID.BIN_00000072.wav,そう,,Не речь / Смех / Звук
VOICE_ID.BIN_00000073.wav,私はウェザリー様によって、ハルナの意識とは別に作られた爆弾使いとしての人格よ,"Я пользователь бомбы, созданный мистером Уэзерли, отдельно от сознания Харуны.",Успешно
VOICE_ID.BIN_00000074.wav,気安く呼ぶことは阪神に値するわね ウェザリー様が私のボスなのよ,"Это достойно того, чтобы Хансин так небрежно позвонил тебе. Мистер Уэзерли - мой босс.",Успешно
VOICE_ID.BIN_00000075.wav,サイト 何度も同じことを言わせないで 痛い目に会うよ,"Сайт Не заставляйте меня повторять одно и то же снова и снова, у вас будут проблемы.",Успешно
VOICE_ID.BIN_00000076.wav,みんなみんな茶番だったのよ,Все это был фарс.,Успешно
VOICE_ID.BIN_00000077.wav,舞台を用意したウェザリー様の手から誰も逃れることができなかったってわけよ,"Никто не мог избежать руки мистера Уэзерли, пока он готовил сцену.",Успешно
VOICE_ID.BIN_00000078.wav,たぶん自分の意志で行動していたと勘違いしてるけど 全部私の意思よ知らないってあわれよねー,"Может быть, я неправильно понял, что действую по своей воле, но жаль, что ты не знаешь, что это все моя воля.",Успешно
VOICE_ID.BIN_00000079.wav,みんな、かわいそうな春菜に同情して、ほいほい行動していったでしょ? それがこの邪魔よ!,"Все сочувствовали бедному Харуне и поступили великодушно, верно? Вот что ее беспокоит!",Успешно
VOICE_ID.BIN_0000007A.wav,あまりにうまくいきすぎて、笑いをこらえるので必死だったわ。,"Это сработало настолько хорошо, что мне пришлось сдержать смех.",Успешно
VOICE_ID.BIN_0000007B.wav,でも、もうそれもおしまい。ウェザリー様からカーテンコールの採測が来てるの。,Но теперь все это кончено. Мне позвонил мистер Уэзерли.,Успешно
VOICE_ID.BIN_0000007C.wav,ハラ、やるっきー? ハルナの体に傷をつけられるのー? アタシは容赦しないけどね,"Харуна, ты собираешься это сделать? Ты собираешься причинить вред телу Харуны? Хотя я тебя не прощу.",Успешно
VOICE_ID.BIN_0000007D.wav,何?,,Не речь / Смех / Звук
VOICE_ID.BIN_0000007E.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000007F.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000080.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000081.wav,サイトまで来たんだ,Я пришел на сайт,Успешно
VOICE_ID.BIN_00000082.wav,どうかしらねー,Я не знаю.,Успешно
VOICE_ID.BIN_00000083.wav,ねえタバサー 私のこと捕まえて連行するつもりなんだろ,"Эй, Таваса, ты собираешься поймать меня и увезти, да?",Успешно
VOICE_ID.BIN_00000084.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000085.wav,なら連行されてもいいわよ これってサービスしすぎかしら,"Тогда я не против, чтобы меня забрали. Это слишком много услуг?",Успешно
VOICE_ID.BIN_00000086.wav,サイトは相変わらず人がいいねー そんなこと言ってるからみんなが酷い目に会っちゃうんだよ,"На сайте по-прежнему полно людей, и всем придется плохо, потому что они говорят такие вещи.",Успешно
VOICE_ID.BIN_00000087.wav,どれ相談は終わったかい それじゃあ行くよ,"Вы закончили консультацию? Ну что ж, поехали.",Успешно
VOICE_ID.BIN_00000088.wav,違う,,Не речь / Смех / Звук
VOICE_ID.BIN_00000089.wav,私は ハルなんじゃない,Я не Хару,Успешно
VOICE_ID.BIN_0000008A.wav,教えてあげるよ,Я скажу тебе,Успешно
VOICE_ID.BIN_0000008B.wav,私は春菜であって春菜じゃない,"Я Харуна, а не Харуна.",Успешно
VOICE_ID.BIN_0000008C.wav,私の名はアキナ ウェザリー様によって作られた別の人格さ,"Меня зовут Акина, я альтернативная личность, созданная г-жой Уэзерли.",Успешно
VOICE_ID.BIN_0000008D.wav,私の中で眠ってるよ 私が起きてるときはずっと春名は寝てるのさ,"Она спит внутри меня. Харуна всегда спит, когда я не сплю.",Успешно
VOICE_ID.BIN_0000008E.wav,嘘じゃないさそろそろ気がついてるんだろう 爆弾使いの正体よさ,"Это не ложь. Я уверен, вы уже поняли, кто террорист.",Успешно
VOICE_ID.BIN_0000008F.wav,それはあたしさ,Это я,Успешно
VOICE_ID.BIN_00000090.wav,おいおい仲間割れかい 相変わらず甘いねー,"Эй, ребята, вы разваливаетесь. Ты такой милый, как всегда.",Успешно
VOICE_ID.BIN_00000091.wav,こいつを喰らいな!,Не ешь это!,Успешно
VOICE_ID.BIN_00000092.wav,あのタバサがサイトをカバーうとはねぇ!,"Не могу поверить, что Табита будет освещать этот сайт!",Успешно
VOICE_ID.BIN_00000093.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_00000094.wav,思った通りだよそうやってけなげにも 斎藤のことをかわうと思ってたんだ,"Все именно так, как я думал. Я думал, что позабочусь о Сайто.",Успешно
VOICE_ID.BIN_00000095.wav,ああそうだよその通りさあ あんの女を身を呈してまでかばうだなんて まったくけなげな娘だねー,"Ах, верно, ты прав. Ты очень жалкая девушка, которая заходит так далеко, что защищает эту женщину.",Успешно
VOICE_ID.BIN_00000096.wav,それじゃああたしはバイバイさせていただこうかなーっと,"Ну тогда, пожалуй, я попрощаюсь.",Успешно
VOICE_ID.BIN_00000097.wav,だったら追いかけてくればいいじゃない ただし、サイトのために左馬になったその娘を置き去りにしてさ,"Если это так, то вам следует просто следовать за мной, но оставить девушку, которая стала Саумой ради сайта, позади.",Успешно
VOICE_ID.BIN_00000098.wav,言ったろ その優しさがみんなを傷つけるってね,"Я говорил тебе, что твоя доброта навредит всем.",Успешно
VOICE_ID.BIN_00000099.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000009A.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000009B.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_0000009C.wav,見つけたわよー,Я нашел это!,Успешно
VOICE_ID.BIN_0000009D.wav,お前たちの同行は、この私がちくいち監視してたんだよ,"Я присматривал за тобой, пока ты сопровождал меня.",Успешно
VOICE_ID.BIN_0000009E.wav,タバサがあたしの命を狙ってるんだって? そんなの100万年早いんだよ,Табита пытается меня убить? Это на миллион лет раньше.,Успешно
VOICE_ID.BIN_0000009F.wav,へえ、そりゃあ楽しみだね。,"Эй, я очень этого жду.",Успешно
VOICE_ID.BIN_000000A0.wav,こいつらに負けるなんて,"Я не могу поверить, что проигрываю этим парням",Успешно
VOICE_ID.BIN_000000A1.wav,でも待ってな、今すぐにこの都はレコンキスタの軍前に囲まれるのさ,"Но подождите, этот город скоро будет окружен армией Реконкисты.",Успешно
VOICE_ID.BIN_000000A2.wav,お前たち、一体何をした!,"Какого черта вы, ребята, сделали!",Успешно
VOICE_ID.BIN_000000A3.wav,見ての通りだって,Как вы видете,Успешно
VOICE_ID.BIN_000000A4.wav,あのルイズが紹介したっていうのか!,Луиза вам его представила?,Успешно
VOICE_ID.BIN_000000A5.wav,燃えろ燃えろ,"Гори, гори",Успешно
VOICE_ID.BIN_000000A6.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000A7.wav,はっはっは、来たよね!,"Ха-ха-ха, оно здесь!",Успешно
VOICE_ID.BIN_000000A8.wav,相変わらずおめでたい奴らだな,Они по-прежнему счастливые люди.,Успешно
VOICE_ID.BIN_000000A9.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000AA.wav,私の名は、アキナ,меня зовут Акина,Успешно
VOICE_ID.BIN_000000AB.wav,ウェザリー様に作っていただいた 本当の私よ,"Настоящая я, созданная мистером Уэзерли.",Успешно
VOICE_ID.BIN_000000AC.wav,さあ、どうかしらね。あの子は何も知らないから。,"Ну, я не знаю, что делать. Этот ребенок ничего не знает.",Успешно
VOICE_ID.BIN_000000AD.wav,でも、あたしはすべてを知ってあやつっていたわ。そう、すべてを。,"Но я все знал и контролировал. Да, все.",Успешно
VOICE_ID.BIN_000000AE.wav,あら、嬉しい。あの子が聞いたら喜ぶわね。,"О, я так счастлив. Этот ребенок будет рад это услышать.",Успешно
VOICE_ID.BIN_000000AF.wav,そして絶望するわ 自分が知らずにやっていたことを知って,"И тогда я отчаиваюсь, зная, что делаю, даже не осознавая этого.",Успешно
VOICE_ID.BIN_000000B0.wav,あら、どうして?現実は認めないと。,"О, почему? Я должен принять реальность.",Успешно
VOICE_ID.BIN_000000B1.wav,そうよ、最初から,"Да, с самого начала",Успешно
VOICE_ID.BIN_000000B2.wav,ふーん、ルイズにはちょっと難しいお話だったかしら。,"Хм, думаю, Луизе было немного сложно.",Успешно
VOICE_ID.BIN_000000B3.wav,あら、ごめーと。意外と頭は悪くないのね、サイト。,"Ой, извини. На удивление, ты не так уж и плох, Сайт.",Успешно
VOICE_ID.BIN_000000B4.wav,ウェザリー様が私とつながっていたと考えたキュルケの推理は悪くなかったけど あと少しだったわねー,"Теория Кюрке о том, что мистер Уэзерли был связан со мной, была неплоха, но она длилась лишь немного дольше.",Успешно
VOICE_ID.BIN_000000B5.wav,本当は 私がお前たちの情報をウェザリー様にお伝えして,"Вообще-то, я собираюсь передать вашу информацию мистеру Уэзерли.",Успешно
VOICE_ID.BIN_000000B6.wav,ドカンってやってたの,Я делал это на ура.,Успешно
VOICE_ID.BIN_000000B7.wav,お芝居はもうおしまい,Спектакль окончен,Успешно
VOICE_ID.BIN_000000B8.wav,最後の幕が開いちゃうのよね だからそのご挨拶,"Последний занавес вот-вот откроется, вот и мое приветствие.",Успешно
VOICE_ID.BIN_000000B9.wav,霊には大切でしょ?,Разве это не важно для духов?,Успешно
VOICE_ID.BIN_000000BA.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000BB.wav,あらサイト、元気そうね,"О, сайт выглядит нормально.",Успешно
VOICE_ID.BIN_000000BC.wav,私を貼るなって呼ぶな 私の名はアキナだ,"Не называй меня ""Не вставляй"" Меня зовут Акина",Успешно
VOICE_ID.BIN_000000BD.wav,ウェザリン様のことでしょ,Вы говорите о мистере Уэзерлине?,Успешно
VOICE_ID.BIN_000000BE.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000BF.wav,ウェザリー様、我々の艦隊が後退していきます!,"Мистер Уэзерли, наш флот отступает!",Успешно
VOICE_ID.BIN_000000C0.wav,城の周りの兵たちも!,Даже солдаты вокруг замка!,Успешно
VOICE_ID.BIN_000000C1.wav,私はウェザリー様に従います,Я следую за мистером Уэзерли.,Успешно
VOICE_ID.BIN_000000C2.wav,相変わらずバカな奴ら,Все равно глупые ребята,Успешно
VOICE_ID.BIN_000000C3.wav,最後に欲張りすぎね もう最終幕が開くのに,"В конце ты слишком жадный, хотя последний занавес уже открылся.",Успешно
VOICE_ID.BIN_000000C4.wav,あ、あんな優柔不断どうでもいいわ、ハルナは趣味が悪いのよ,"Ах, меня не волнует такая нерешительность, у Харуны дурной вкус.",Успешно
VOICE_ID.BIN_000000C5.wav,ダメよ ここはこれ以上は危険,"Нет, здесь не опаснее.",Успешно
VOICE_ID.BIN_000000C6.wav,あたしはアキナ,я Акина,Успешно
VOICE_ID.BIN_000000C7.wav,ウェザリー様に作っていただいた 新しい人格なの フッフッフッフッフッフッ,"Это новая личность, созданная мистером Уэзерли.",Успешно
VOICE_ID.BIN_000000C8.wav,お前たちが爆弾使いって呼んで散々探し回ってた相手だよ,"Это тот, кого вы называли террористом и искали его повсюду.",Успешно
VOICE_ID.BIN_000000C9.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000CA.wav,スカじゃないの?,Разве это не ска?,Успешно
VOICE_ID.BIN_000000CB.wav,現実をしっかり見たら、サイト,"Если внимательно присмотреться к реальности, сайт",Успешно
VOICE_ID.BIN_000000CC.wav,嘘だと言ったらこの現実は変わるのだったら何度でも言ってたら 私は秋奈なの,"Если я скажу, что это ложь, эта реальность изменится. Если я говорю это снова и снова, я Акина.",Успешно
VOICE_ID.BIN_000000CD.wav,じゃあ信じなければいいじゃない,Тогда вам не обязательно в это верить.,Успешно
VOICE_ID.BIN_000000CE.wav,爆弾使いはアキナで、ハルナは何も知らない清らかな女の子。 はっ、ヘッドが出る。,"Акина — террористка, а Харуна — невинная девушка, ничего не знающая. Ха, голова выходит.",Успешно
VOICE_ID.BIN_000000CF.wav,うるさい!あたしはそういう風に作られたんだ!,Шумный! Я был создан таким!,Успешно
VOICE_ID.BIN_000000D0.wav,どこかの幸せな童話のように、かかとを三度鳴らしても元の世界には戻れない!,"Как в какой-то счастливой сказке, даже если ты трижды щелкнешь каблуками, ты не сможешь вернуться в свой прежний мир!",Успешно
VOICE_ID.BIN_000000D1.wav,誰も本当に助けてなんてくれない。それがあたしたちの現実よ!,Никто мне особо не поможет. Это наша реальность!,Успешно
VOICE_ID.BIN_000000D2.wav,別にどうなってもいいだろう 消えてなくなるさ,"Неважно, что произойдет, оно просто исчезнет",Успешно
VOICE_ID.BIN_000000D3.wav,バーガー,бургер,Успешно
VOICE_ID.BIN_000000D4.wav,,,Не речь / Смех / Звук
VOICE_ID.BIN_000000D5.wav,何この気配,Что это за знак?,Успешно
VOICE_ID.BIN_000000D6.wav,,,Не речь / Смех / Звук
